Id;Year;Country;Cash;Liquid_Assets;Gross_Loans;Total_Assets;Total_Deposits;Total_Liabilities;Total_Equity;Net_Interest_Income;NPL_s_Gross_Loans;Loan_Loss_Provisions_s_Gross_Loans;Net_Interest_Revenue_s_Total_Assets;ROAE;ROAA;Liquid_Assets_s_Total_Assets;Total_Equity_s_Total_Assets;NonInt_Ex_s_Avg_Assets;Total_Cap_Ratio;Rating_num;Rating
Id_001;2021;PANAMA;62,80;547,40;6.216,60;8.323,50;5.275,20;7.533,80;789,70;172,80;3,75;1,32;2,05;3,38;0,32;6,58;9,49;1,53;15,97;10;BBB-
Id_002;2020;ARGENTINA;722,70;586,95;1.312,82;3.583,76;2.390,51;2.986,63;597,14;498,66;1,59;0,87;14,84;24,03;3,95;16,38;16,66;9,56;20,16;17;CCC+
Id_003;2020;ARGENTINA;159,70;819,85;576,42;1.636,43;945,57;1.422,89;213,53;1,10;12,17;-0,35;-0,07;6,25;0,76;50,10;13,05;13,92;13,05;19;CCC-
Id_004;2020;ARGENTINA;1.809,74;1.682,27;3.453,92;8.197,15;5.736,97;6.950,78;1.246,37;923,11;1,45;2,94;11,90;12,07;2,04;20,52;15,20;10,05;19,35;18;CCC
Id_005;2020;ARGENTINA;1.209,79;635,60;1.600,05;4.409,14;2.383,78;3.838,68;570,45;481,94;4,49;4,23;11,37;10,85;1,31;14,42;12,94;7,99;21,43;16;B-
Id_006;2020;ARGENTINA;432,12;760,79;1.338,82;2.872,72;2.040,93;2.533,36;339,36;426,37;6,64;6,75;16,43;8,88;1,01;26,48;11,81;15,87;13,62;18;CCC
Id_007;2020;BOLIVIA;1.352,14;1.462,27;2.910,49;5.413,29;4.685,90;5.065,17;348,12;180,59;1,96;0,87;3,74;5,22;0,38;27,01;6,43;3,66;11,80;14;B+
Id_008;2020;BOLIVIA;582,72;562,34;3.866,83;5.717,19;5.130,87;5.421,36;295,83;181,52;2,00;0,37;3,27;2,06;0,11;9,84;5,17;2,45;11,81;14;B+
Id_009;2020;BOLIVIA;601,48;697,06;2.924,08;4.419,19;3.530,01;4.152,40;266,79;131,75;1,22;0,46;3,11;5,12;0,32;15,77;6,04;1,61;12,72;15;B
Id_010;2020;BOLIVIA;446,86;476,79;2.400,71;3.422,26;3.080,67;3.212,74;209,52;116,28;1,01;1,15;3,54;2,48;0,16;13,93;6,12;2,21;11,93;15;B
Id_011;2020;BOLIVIA;91,10;202,10;2.427,68;3.447,76;2.819,12;3.247,02;200,74;91,10;0,35;0,41;2,98;0,89;0,05;5,86;5,82;3,13;11,70;16;B-
Id_012;2020;BRAZIL;104,24;3.108,05;11.490,34;22.475,95;4.931,07;20.397,30;2.078,65;1.048,75;13,09;4,30;5,09;10,35;0,95;13,83;9,25;2,94;14,64;12;BB
Id_013;2020;BRAZIL;9,39;94,50;154,00;269,62;118,02;231,15;38,47;10,65;7,22;4,15;3,05;-8,39;-0,84;35,05;14,27;2,23;16,80;12;BB
Id_014;2020;BRAZIL;42,66;654,93;3.127,17;4.904,78;3.225,73;4.489,12;415,66;432,91;4,25;0,48;10,57;24,00;2,39;13,35;8,47;8,66;14,62;14;B+
Id_015;2020;BRAZIL;26,25;35,95;2.707,37;5.457,47;2.540,69;4.659,49;797,99;575,77;6,22;5,53;12,64;8,13;1,43;0,66;14,62;6,24;17,76;14;B+
Id_016;2020;BRAZIL;0,95;543,30;5.627,00;7.446,53;4.168,71;6.418,68;1.027,85;1.368,81;7,94;4,34;19,86;12,80;1,90;7,30;13,80;11,50;15,91;14;B+
Id_017;2020;BRAZIL;15,56;520,74;599,20;1.399,37;1.057,37;1.296,71;102,66;96,80;5,57;1,73;7,59;12,36;0,96;37,21;7,34;9,60;11,15;12;BB
Id_018;2020;BRAZIL;244,25;2.919,43;7.269,07;17.749,04;12.070,69;16.135,75;1.613,29;927,84;10,15;2,82;5,54;8,92;0,84;16,45;9,09;5,03;15,81;13;BB-
Id_019;2020;BRAZIL;67,92;2.958,65;994,22;5.892,47;3.077,28;5.561,18;331,29;162,99;7,39;0,61;3,11;14,31;0,80;50,21;5,62;2,89;15,42;13;BB-
Id_020;2020;BRAZIL;0,02;397,32;1.107,69;1.760,64;925,99;1.526,58;234,06;130,19;3,10;2,34;9,05;4,90;0,82;22,57;13,29;7,18;25,40;13;BB-
Id_021;2020;BRAZIL;1,20;9,95;274,64;297,35;230,27;244,46;52,89;21,71;2,10;0,52;6,50;9,12;1,46;3,35;17,79;4,13;17,79;12;BB
Id_022;2020;BRAZIL;162,16;303,40;1.168,92;1.654,41;156,32;1.279,93;374,47;58,68;16,41;1,73;4,13;1,34;0,36;18,34;22,63;2,93;18,69;15;B
Id_023;2020;BRAZIL;5,91;13,07;140,08;163,24;111,26;119,11;44,13;9,18;7,23;-1,14;4,53;6,47;1,33;8,00;27,03;1,57;23,30;12;BB
Id_024;2020;BRAZIL;0,21;31,84;1.520,68;1.673,90;1.076,96;1.373,20;300,70;281,59;6,70;6,60;12,70;0,50;0,10;1,90;18,00;7,70;18,00;11;BB+
Id_025;2020;BRAZIL;3.771,66;49.403,66;79.570,67;193.758,26;75.395,64;178.271,56;15.486,70;6.751,07;7,95;3,58;3,76;17,97;1,41;25,50;7,99;2,67;15,25;11;BB+
Id_026;2020;BRAZIL;4.609,17;105.424,00;98.452,28;307.542,24;105.865,21;279.618,26;27.923,98;9.804,85;11,30;4,00;3,44;12,25;1,12;34,28;9,08;3,14;15,80;12;BB
Id_027;2020;BRAZIL;5.936,71;140.380,02;82.996,29;340.525,19;139.143,31;316.733,10;23.792,09;5.156,18;8,43;3,61;1,65;13,01;0,88;41,22;6,99;2,37;14,50;12;BB
Id_028;2020;BRAZIL;3.292,17;68.004,68;152.221,85;280.428,09;117.426,66;262.486,10;17.941,99;7.242,16;7,88;1,20;2,73;16,46;0,95;24,25;6,40;3,05;17,62;12;BB
Id_029;2020;BRAZIL;281,44;6.552,91;4.448,49;20.102,22;6.342,15;18.110,72;1.991,49;586,93;2,24;1,84;3,10;12,44;1,20;32,60;9,91;2,12;17,66;11;BB+
Id_030;2020;BRAZIL;8.934,94;139.625,39;137.347,39;408.355,43;156.378,78;379.804,38;28.551,05;9.114,70;8,07;4,14;2,45;11,81;0,83;34,19;6,99;2,72;14,50;13;BB-
Id_031;2020;BRAZIL;0,25;38,43;150,52;211,27;21,61;159,16;52,11;11,87;25,34;-1,14;5,55;11,42;2,52;18,19;24,67;5,15;21,40;13;BB-
Id_032;2020;CHILE;3.845,60;4.676,37;47.177,13;76.514,59;43.172,85;71.503,89;5.010,70;2.186,47;1,41;1,52;3,00;14,36;0,92;6,11;6,55;1,51;15,37;5;A+
Id_033;2020;CHILE;4.237,64;5.425,99;31.051,86;48.956,72;29.397,29;45.680,37;3.276,35;1.147,06;2,23;2,31;2,41;-32,15;-2,53;11,08;6,69;4,39;13,56;7;A-
Id_034;2020;CHILE;3.512,15;14.848,66;42.439,87;63.234,10;38.049,44;58.122,34;5.111,76;1.801,21;0,97;1,52;3,01;12,81;1,04;23,48;8,08;1,97;15,96;5;A+
Id_035;2020;CHILE;6.307,43;8.956,28;48.711,47;78.408,01;50.533,48;73.065,18;5.342,82;2.000,85;1,18;1,89;2,71;8,06;0,56;11,42;6,81;1,82;13,39;6;A
Id_036;2020;CHILE;1.577,94;2.333,15;8.554,60;12.539,23;8.301,54;11.638,52;900,71;239,86;0,40;0,42;1,97;11,92;0,83;18,61;7,18;1,51;13,73;8;BBB+
Id_037;2020;CHILE;614,15;821,06;8.542,80;11.083,89;5.649,10;10.175,84;908,06;269,32;1,76;1,15;2,40;9,47;0,72;7,41;8,19;1,72;14,05;9;BBB
Id_038;2020;CHILE;1.717,87;3.809,07;34.811,96;50.477,34;27.480,29;47.040,19;3.437,15;1.254,11;1,47;1,29;2,56;11,93;0,75;7,55;6,81;1,54;13,24;6;A
Id_039;2020;CHILE;414,61;560,01;5.189,73;8.116,40;4.523,16;7.296,86;819,54;173,43;1,69;0,92;2,17;9,71;0,83;6,90;10,10;1,59;18,49;9;BBB
Id_040;2020;COLOMBIA;7.982,12;10.399,78;39.433,80;60.457,03;42.755,23;53.926,04;6.530,99;2.396,67;5,96;3,36;4,31;11,19;1,22;17,20;10,80;3,65;12,06;10;BBB-
Id_041;2020;COLOMBIA;1.667,97;2.659,38;15.204,33;19.997,24;15.156,99;18.398,30;1.598,94;920,46;5,43;2,93;4,71;8,93;0,65;13,30;8,00;2,43;14,73;9;BBB
Id_042;2020;COLOMBIA;5.859,42;11.420,30;55.563,21;74.187,50;52.710,79;66.026,10;8.161,40;3.146,62;8,56;3,93;4,41;1,09;0,12;15,39;11,00;3,07;14,74;10;BBB-
Id_043;2020;COLOMBIA;374,73;1.149,32;6.101,14;8.373,65;5.121,63;7.587,22;786,44;264,77;4,94;3,04;3,13;-30,13;-3,14;13,73;9,39;4,52;12,58;10;BBB-
Id_044;2020;COLOMBIA;1.000,63;1.556,67;9.486,45;13.089,13;8.990,31;11.643,74;1.445,39;549,84;5,41;3,56;4,32;7,06;0,75;11,89;11,04;3,59;10,60;10;BBB-
Id_045;2020;COLOMBIA;2.978,55;4.979,36;30.966,01;39.598,65;26.232,90;36.421,38;3.177,28;2.202,10;4,98;4,12;5,87;3,36;0,30;12,57;9,32;3,04;12,31;10;BBB-
Id_046;2020;COLOMBIA;400,65;1.539,93;4.328,20;8.084,59;5.289,44;7.551,89;532,70;298,99;7,55;3,02;3,85;10,03;0,67;19,05;6,59;3,69;6,59;10;BBB-
Id_047;2020;COLOMBIA;1.601,59;6.184,71;4.696,13;11.814,25;7.834,28;11.096,40;717,84;207,58;1,94;2,45;1,83;7,57;0,47;52,35;6,08;1,71;14,01;11;BB+
